|TCP   |Source Port |Destination Port |Sequence Number  |Acknowledge Number |Source IP        |Dest IP          |Urgent Flag | Retrans|
|1     |22          |58300            |1251282259       |603062000          |146.141.28.253   |146.141.28.130   |0           |0       |
|2     |58300       |22               |603062000        |1251282323         |146.141.28.130   |146.141.28.253   |0           |0       |
|3     |22          |58300            |1251282323       |603062000          |146.141.28.253   |146.141.28.130   |0           |0       |
|4     |22          |58300            |1251282515       |603062000          |146.141.28.253   |146.141.28.130   |0           |0       |
|5     |58300       |22               |603062000        |1251282515         |146.141.28.130   |146.141.28.253   |0           |0       |
|6     |58300       |22               |603062000        |1251282627         |146.141.28.130   |146.141.28.253   |0           |0       |
|7     |22          |58300            |1251282627       |603062000          |146.141.28.253   |146.141.28.130   |0           |1       |
|8     |58300       |22               |603062000        |1251282883         |146.141.28.130   |146.141.28.253   |0           |1       |
|9     |22          |58300            |1251282883       |603062000          |146.141.28.253   |146.141.28.130   |0           |1       |
|10    |22          |58300            |1251283075       |603062000          |146.141.28.253   |146.141.28.130   |0           |1       |
|11    |58300       |22               |603062000        |1251283075         |146.141.28.130   |146.141.28.253   |0           |1       |
|12    |58300       |22               |603062000        |1251283187         |146.141.28.130   |146.141.28.253   |0           |1       |
|13    |22          |58300            |1251283187       |603062000          |146.141.28.253   |146.141.28.130   |0           |2       |
|14    |58300       |22               |603062000        |1251283459         |146.141.28.130   |146.141.28.253   |0           |2       |
|15    |22          |58300            |1251283459       |603062000          |146.141.28.253   |146.141.28.130   |0           |2       |
|16    |58300       |22               |603062000        |1251283651         |146.141.28.130   |146.141.28.253   |0           |2       |
|17    |22          |58300            |1251283651       |603062000          |146.141.28.253   |146.141.28.130   |0           |2       |
|18    |22          |58300            |1251283843       |603062000          |146.141.28.253   |146.141.28.130   |0           |2       |
|19    |58300       |22               |603062000        |1251283843         |146.141.28.130   |146.141.28.253   |0           |2       |
|20    |58300       |22               |603062000        |1251283955         |146.141.28.130   |146.141.28.253   |0           |2       |
|21    |22          |58300            |1251283955       |603062000          |146.141.28.253   |146.141.28.130   |0           |3       |
|22    |58300       |22               |603062000        |1251284147         |146.141.28.130   |146.141.28.253   |0           |3       |
|23    |22          |58300            |1251284147       |603062000          |146.141.28.253   |146.141.28.130   |0           |3       |
|24    |22          |58300            |1251284419       |603062000          |146.141.28.253   |146.141.28.130   |0           |3       |
|25    |58300       |22               |603062000        |1251284419         |146.141.28.130   |146.141.28.253   |0           |3       |
|26    |58300       |22               |603062000        |1251284531         |146.141.28.130   |146.141.28.253   |0           |3       |
|27    |22          |58300            |1251284531       |603062000          |146.141.28.253   |146.141.28.130   |0           |4       |
|28    |22          |58300            |1251284579       |603062000          |146.141.28.253   |146.141.28.130   |0           |4       |
|29    |58300       |22               |603062000        |1251284579         |146.141.28.130   |146.141.28.253   |0           |4       |
|30    |58300       |22               |603062000        |1251284691         |146.141.28.130   |146.141.28.253   |0           |4       |
|31    |22          |58300            |1251284691       |603062000          |146.141.28.253   |146.141.28.130   |0           |5       |
|32    |22          |58300            |1251284963       |603062000          |146.141.28.253   |146.141.28.130   |0           |5       |
|33    |58300       |22               |603062000        |1251284963         |146.141.28.130   |146.141.28.253   |0           |5       |
|34    |58300       |22               |603062000        |1251285075         |146.141.28.130   |146.141.28.253   |0           |5       |
|35    |22          |58300            |1251285075       |603062000          |146.141.28.253   |146.141.28.130   |0           |6       |
|36    |58300       |22               |603062000        |1251285187         |146.141.28.130   |146.141.28.253   |0           |6       |
|37    |22          |58300            |1251285187       |603062000          |146.141.28.253   |146.141.28.130   |0           |6       |
|38    |22          |58300            |1251285379       |603062000          |146.141.28.253   |146.141.28.130   |0           |6       |
|39    |58300       |22               |603062000        |1251285379         |146.141.28.130   |146.141.28.253   |0           |6       |
|40    |58300       |22               |603062000        |1251285427         |146.141.28.130   |146.141.28.253   |0           |6       |
|41    |22          |58300            |1251285427       |603062000          |146.141.28.253   |146.141.28.130   |0           |7       |
|42    |22          |58300            |1251285539       |603062000          |146.141.28.253   |146.141.28.130   |0           |7       |
|43    |58300       |22               |603062000        |1251285539         |146.141.28.130   |146.141.28.253   |0           |7       |
|44    |58300       |22               |603062000        |1251285587         |146.141.28.130   |146.141.28.253   |0           |7       |
|45    |22          |58300            |1251285587       |603062000          |146.141.28.253   |146.141.28.130   |0           |8       |
|46    |58300       |22               |603062000        |1251285859         |146.141.28.130   |146.141.28.253   |0           |8       |
|47    |22          |58300            |1251285859       |603062000          |146.141.28.253   |146.141.28.130   |0           |8       |
|48    |22          |58300            |1251286051       |603062000          |146.141.28.253   |146.141.28.130   |0           |8       |
|49    |58300       |22               |603062000        |1251286051         |146.141.28.130   |146.141.28.253   |0           |8       |
|50    |58300       |22               |603062000        |1251286099         |146.141.28.130   |146.141.28.253   |0           |8       |
|51    |22          |58300            |1251286099       |603062000          |146.141.28.253   |146.141.28.130   |0           |9       |
|52    |58300       |22               |603062000        |1251286371         |146.141.28.130   |146.141.28.253   |0           |9       |
|53    |22          |58300            |1251286371       |603062000          |146.141.28.253   |146.141.28.130   |0           |9       |
|54    |58300       |22               |603062000        |1251286563         |146.141.28.130   |146.141.28.253   |0           |9       |
|55    |22          |58300            |1251286563       |603062000          |146.141.28.253   |146.141.28.130   |0           |9       |
|56    |58300       |22               |603062000        |1251286675         |146.141.28.130   |146.141.28.253   |0           |9       |
|57    |22          |58300            |1251286675       |603062000          |146.141.28.253   |146.141.28.130   |0           |9       |
|58    |58300       |22               |603062000        |1251286787         |146.141.28.130   |146.141.28.253   |0           |9       |
|59    |22          |58300            |1251286787       |603062000          |146.141.28.253   |146.141.28.130   |0           |9       |
|60    |22          |58300            |1251286899       |603062000          |146.141.28.253   |146.141.28.130   |0           |9       |
|61    |58300       |22               |603062000        |1251286899         |146.141.28.130   |146.141.28.253   |0           |9       |
|62    |58300       |22               |603062000        |1251286947         |146.141.28.130   |146.141.28.253   |0           |9       |
|63    |22          |58300            |1251286947       |603062000          |146.141.28.253   |146.141.28.130   |0           |10       |
|64    |58300       |22               |603062000        |1251287219         |146.141.28.130   |146.141.28.253   |0           |10       |
|65    |22          |58300            |1251287219       |603062000          |146.141.28.253   |146.141.28.130   |0           |10       |
|66    |22          |58300            |1251287411       |603062000          |146.141.28.253   |146.141.28.130   |0           |10       |
|67    |58300       |22               |603062000        |1251287411         |146.141.28.130   |146.141.28.253   |0           |10       |
|68    |58300       |22               |603062000        |1251287459         |146.141.28.130   |146.141.28.253   |0           |10       |
|69    |22          |58300            |1251287459       |603062000          |146.141.28.253   |146.141.28.130   |0           |11       |
|70    |22          |58300            |1251287571       |603062000          |146.141.28.253   |146.141.28.130   |0           |11       |
|71    |58300       |22               |603062000        |1251287571         |146.141.28.130   |146.141.28.253   |0           |11       |
|72    |58300       |22               |603062000        |1251287619         |146.141.28.130   |146.141.28.253   |0           |11       |
|73    |22          |58300            |1251287619       |603062000          |146.141.28.253   |146.141.28.130   |0           |12       |
